timestamp,source,data
2018-09-15 15:28:34,Shimcache, C:\Windows\system32\wuauclt.exe
2018-09-15 15:28:34,Shimcache, C:\Windows\system32\sihost.exe
2018-09-15 15:28:36,Shimcache, C:\Windows\system32\dashost.exe
2018-09-15 15:28:36,Shimcache, C:\Windows\System32\wuapihost.exe
2018-09-15 15:28:36,Shimcache, C:\Windows\system32\pnputil.exe
2018-09-15 15:28:38,Shimcache, C:\Windows\System32\cmd.exe
2018-09-15 15:28:38,Shimcache, C:\Windows\system32\disksnapshot.exe
2018-09-15 15:28:39,Shimcache, C:\Windows\system32\usoclient.exe
2018-09-15 15:28:39,Shimcache, C:\Windows\system32\speech_onecore\common\SpeechModelDownload.exe
2018-09-15 15:28:39,Shimcache, C:\Windows\System32\SecurityHealthSystray.exe
2018-09-15 15:28:39,Shimcache, C:\Windows\system32\vssvc.exe
2018-09-15 15:28:39,Shimcache, C:\Windows\System32\Speech_OneCore\Common\SpeechRuntime.exe
2018-09-15 15:28:39,Shimcache, C:\Windows\system32\ApplicationFrameHost.exe
2018-09-15 15:28:40,Shimcache, C:\Windows\System32\CloudExperienceHostBroker.exe
2018-09-15 15:28:42,Shimcache, C:\Windows\system32\psr.exe
2018-09-15 15:28:42,Shimcache, C:\Windows\System32\fsquirt.exe
2018-09-15 15:28:42,Shimcache, C:\Windows\system32\utilman.exe
2018-09-15 15:28:43,Shimcache, C:\Windows\system32\osk.exe
2018-09-15 15:28:44,Shimcache, C:\Windows\system32\narrator.exe
2018-09-15 15:28:44,Shimcache, C:\Windows\system32\schtasks.exe
2018-09-15 15:28:44,Shimcache, C:\Windows\system32\taskhostw.exe
2018-09-15 15:28:44,Shimcache, C:\Windows\system32\tzsync.exe
